bin_center	KS count	by_avg count	by_gb count	KS freq	by_avg freq	by_gb freq
0.135	4	4	29	0.000031	0.000031	0.000222
0.405	16	49	367	0.000123	0.000375	0.002812
0.675	99	188	2108	0.000759	0.001441	0.016153
0.945	283	478	6368	0.002169	0.003663	0.048795
1.215	499	988	12455	0.003824	0.007571	0.095438
1.485	719	1486	16174	0.005509	0.011387	0.123935
1.755	1247	1611	16808	0.009555	0.012344	0.128793
2.025	1880	2112	13749	0.014406	0.016183	0.105353
2.295	2263	3029	9110	0.017340	0.023210	0.069806
2.565	3054	3994	5940	0.023402	0.030604	0.045516
2.835	3982	4845	4016	0.030512	0.037125	0.030773
3.105	5402	6075	2895	0.041393	0.046550	0.022183
3.375	6325	7443	2053	0.048466	0.057033	0.015731
3.645	7357	9019	1358	0.056374	0.069109	0.010406
3.915	8996	10460	1027	0.068933	0.080151	0.007869
4.185	9964	12556	1033	0.076350	0.096212	0.007915
4.455	11729	12623	823	0.089875	0.096725	0.006306
4.725	12417	9343	760	0.095147	0.071592	0.005824
4.995	11130	7001	711	0.085285	0.053646	0.005448
5.265	7596	5646	726	0.058205	0.043263	0.005563
5.535	4305	2785	738	0.032987	0.021340	0.005655
5.805	2367	1818	736	0.018137	0.013931	0.005640
6.075	1731	1250	673	0.013264	0.009578	0.005157
6.345	1322	981	739	0.010130	0.007517	0.005663
6.615	1263	947	715	0.009678	0.007256	0.005479
6.885	983	746	592	0.007532	0.005716	0.004536
7.155	908	833	539	0.006958	0.006383	0.004130
7.425	854	803	450	0.006544	0.006153	0.003448
7.695	804	660	533	0.006161	0.005057	0.004084
7.965	583	666	516	0.004467	0.005103	0.003954
8.235	599	593	530	0.004590	0.004544	0.004061
8.505	515	498	561	0.003946	0.003816	0.004299
8.775	408	480	608	0.003126	0.003678	0.004659
9.045	449	464	615	0.003441	0.003555	0.004712
9.315	422	431	636	0.003234	0.003303	0.004873
9.585	439	467	630	0.003364	0.003578	0.004827
9.855	447	477	603	0.003425	0.003655	0.004621
10.125	534	587	519	0.004092	0.004498	0.003977
10.395	534	606	427	0.004092	0.004644	0.003272
10.665	646	593	431	0.004950	0.004544	0.003303
10.935	646	625	431	0.004950	0.004789	0.003303
11.205	613	659	384	0.004697	0.005050	0.002942
11.475	583	541	329	0.004467	0.004145	0.002521
11.745	501	541	351	0.003839	0.004145	0.002690
12.015	490	482	352	0.003755	0.003693	0.002697
12.285	533	430	295	0.004084	0.003295	0.002260
12.555	443	423	317	0.003395	0.003241	0.002429
12.825	494	429	304	0.003785	0.003287	0.002329
13.095	496	452	298	0.003801	0.003463	0.002283
13.365	596	521	383	0.004567	0.003992	0.002935
13.635	566	550	388	0.004337	0.004214	0.002973
13.905	554	653	452	0.004245	0.005004	0.003463
14.175	435	572	419	0.003333	0.004383	0.003211
14.445	425	596	463	0.003257	0.004567	0.003548
14.715	416	578	450	0.003188	0.004429	0.003448
14.985	371	535	477	0.002843	0.004099	0.003655
15.255	305	453	445	0.002337	0.003471	0.003410
15.525	283	371	500	0.002169	0.002843	0.003831
15.795	223	296	534	0.001709	0.002268	0.004092
16.065	269	294	536	0.002061	0.002253	0.004107
16.335	305	179	602	0.002337	0.001372	0.004613
16.605	330	199	632	0.002529	0.001525	0.004843
16.875	274	139	657	0.002100	0.001065	0.005034
17.145	287	119	769	0.002199	0.000912	0.005893
17.415	255	96	794	0.001954	0.000736	0.006084
17.685	234	87	805	0.001793	0.000667	0.006168
17.955	175	89	762	0.001341	0.000682	0.005839
18.225	163	68	671	0.001249	0.000521	0.005142
18.495	125	75	643	0.000958	0.000575	0.004927
18.765	123	70	384	0.000942	0.000536	0.002942
19.035	86	77	346	0.000659	0.000590	0.002651
19.305	99	75	259	0.000759	0.000575	0.001985
19.575	61	72	215	0.000467	0.000552	0.001647
19.845	70	80	118	0.000536	0.000613	0.000904
20.115	107	94	147	0.000820	0.000720	0.001126
20.385	85	85	71	0.000651	0.000651	0.000544
20.655	80	99	84	0.000613	0.000759	0.000644
20.925	98	92	80	0.000751	0.000705	0.000613
21.195	145	200	71	0.001111	0.001533	0.000544
21.465	136	186	100	0.001042	0.001425	0.000766
21.735	201	313	69	0.001540	0.002398	0.000529
22.005	285	348	99	0.002184	0.002667	0.000759
22.275	333	358	61	0.002552	0.002743	0.000467
22.545	347	403	76	0.002659	0.003088	0.000582
22.815	399	362	64	0.003057	0.002774	0.000490
23.085	382	302	72	0.002927	0.002314	0.000552
23.355	235	259	84	0.001801	0.001985	0.000644
23.625	252	186	93	0.001931	0.001425	0.000713
23.895	154	107	101	0.001180	0.000820	0.000774
24.165	104	47	143	0.000797	0.000360	0.001096
24.435	80	2	155	0.000613	0.000015	0.001188
24.705	62	0	268	0.000475	0.000000	0.002054
24.975	43	0	287	0.000329	0.000000	0.002199
25.245	26	0	322	0.000199	0.000000	0.002467
25.515	28	0	455	0.000215	0.000000	0.003486
25.785	18	0	457	0.000138	0.000000	0.003502
26.055	0	0	388	0.000000	0.000000	0.002973
26.325	0	0	305	0.000000	0.000000	0.002337
26.595	0	0	234	0.000000	0.000000	0.001793
26.865	0	0	152	0.000000	0.000000	0.001165