bin_extents	K-S Count	Optimised Count	K-S	Optimized	
0.27	27	202	0.0002	0.0012	
0.81	316	3909	0.0019	0.0236	
1.35	1338	22410	0.0081	0.1354	
1.89	3711	41569	0.0224	0.2511	
2.43	10688	33574	0.0646	0.2028	
2.97	23884	18108	0.1443	0.1094	
3.51	30129	9184	0.1820	0.0555	
4.05	29514	5349	0.1783	0.0323	
4.59	23240	3225	0.1404	0.0195	
5.13	14208	2228	0.0858	0.0135	
5.67	6064	1715	0.0366	0.0104	
6.21	2933	1448	0.0177	0.0087	
6.75	1509	1120	0.0091	0.0068	
7.29	1059	1006	0.0064	0.0061	
7.83	673	929	0.0041	0.0056	
8.37	683	875	0.0041	0.0053	
8.91	648	720	0.0039	0.0043	
9.45	776	762	0.0047	0.0046	
9.99	667	617	0.0040	0.0037	
10.53	736	634	0.0044	0.0038	
11.07	617	554	0.0037	0.0033	
11.61	609	633	0.0037	0.0038	
12.15	644	539	0.0039	0.0033	
12.69	599	561	0.0036	0.0034	
13.23	508	685	0.0031	0.0041	
13.77	378	602	0.0023	0.0036	
14.31	415	696	0.0025	0.0042	
14.85	380	715	0.0023	0.0043	
15.39	349	562	0.0021	0.0034	
15.93	336	567	0.0020	0.0034	
16.47	262	603	0.0016	0.0036	
17.01	335	621	0.0020	0.0038	
17.55	254	475	0.0015	0.0029	
18.09	253	383	0.0015	0.0023	
18.63	307	309	0.0019	0.0019	
19.17	282	294	0.0017	0.0018	
19.71	263	286	0.0016	0.0017	
20.25	295	329	0.0018	0.0020	
20.79	317	255	0.0019	0.0015	
21.33	280	316	0.0017	0.0019	
21.87	344	290	0.0021	0.0018	
22.41	378	279	0.0023	0.0017	
22.95	423	322	0.0026	0.0019	
23.49	370	338	0.0022	0.0020	
24.03	346	365	0.0021	0.0022	
24.57	329	334	0.0020	0.0020	
25.11	300	476	0.0018	0.0029	
25.65	243	380	0.0015	0.0023	
26.19	269	276	0.0016	0.0017	
26.73	2081	2940	0.0126	0.0178	